student_id,name,score
STU001,Ana Garcia,62
STU002,Luis Garcia,84
STU003,Sofia Garcia,45
STU004,Carlos Garcia,67
STU005,Maria Garcia,89
STU006,Diego Garcia,50
STU007,Elena Garcia,72
STU008,Mateo Garcia,94
STU009,Valentina Garcia,71
STU010,Andres Garcia,93
STU011,Camila Garcia,54
STU012,Daniel Garcia,76
STU013,Lucia Garcia,98
STU014,Martin Garcia,59
STU015,Gabriela Garcia,81
STU016,Nicolas Garcia,42
STU017,Paula Garcia,64
STU018,Javier Garcia,41
STU019,Isabella Garcia,63
STU020,Sebastian Garcia,85
STU021,Ana Perez,46
STU022,Luis Perez,68
STU023,Sofia Perez,90
STU024,Carlos Perez,51
STU025,Maria Perez,73
STU026,Diego Perez,95
STU027,Elena Perez,72
STU028,Mateo Perez,94
STU029,Valentina Perez,55
STU030,Andres Perez,77
STU031,Camila Perez,99
STU032,Daniel Perez,60
STU033,Lucia Perez,82
STU034,Martin Perez,43
STU035,Gabriela Perez,65
STU036,Nicolas Perez,42
STU037,Paula Perez,64
STU038,Javier Perez,86
STU039,Isabella Perez,47
STU040,Sebastian Perez,69
STU041,Ana Rodriguez,91
STU042,Luis Rodriguez,52
STU043,Sofia Rodriguez,74
STU044,Carlos Rodriguez,96
STU045,Maria Rodriguez,73
STU046,Diego Rodriguez,95
STU047,Elena Rodriguez,56
STU048,Mateo Rodriguez,78
STU049,Valentina Rodriguez,100
STU050,Andres Rodriguez,61
STU051,Camila Rodriguez,83
STU052,Daniel Rodriguez,44
STU053,Lucia Rodriguez,66
STU054,Martin Rodriguez,43
STU055,Gabriela Rodriguez,65
STU056,Nicolas Rodriguez,87
STU057,Paula Rodriguez,48
STU058,Javier Rodriguez,70
STU059,Isabella Rodriguez,92
STU060,Sebastian Rodriguez,53
STU061,Ana Torres,75
STU062,Luis Torres,97
STU063,Sofia Torres,74
STU064,Carlos Torres,96
STU065,Maria Torres,57
STU066,Diego Torres,79
STU067,Elena Torres,40
STU068,Mateo Torres,62
STU069,Valentina Torres,84
STU070,Andres Torres,45
STU071,Camila Torres,67
STU072,Daniel Torres,44
STU073,Lucia Torres,66
STU074,Martin Torres,88
STU075,Gabriela Torres,49
STU076,Nicolas Torres,71
STU077,Paula Torres,93
STU078,Javier Torres,54
STU079,Isabella Torres,76
STU080,Sebastian Torres,98
STU081,Ana Morales,75
STU082,Luis Morales,97
STU083,Sofia Morales,58
STU084,Carlos Morales,80
STU085,Maria Morales,41
STU086,Diego Morales,63
STU087,Elena Morales,85
STU088,Mateo Morales,46
STU089,Valentina Morales,68
STU090,Andres Morales,45
STU091,Camila Morales,67
STU092,Daniel Morales,89
STU093,Lucia Morales,50
STU094,Martin Morales,72
STU095,Gabriela Morales,94
STU096,Nicolas Morales,55
STU097,Paula Morales,77
STU098,Javier Morales,99
STU099,Isabella Morales,76
STU100,Sebastian Morales,98
STU101,Ana Herrera,59
STU102,Luis Herrera,81
STU103,Sofia Herrera,42
STU104,Carlos Herrera,64
STU105,Maria Herrera,86
STU106,Diego Herrera,47
STU107,Elena Herrera,69
STU108,Mateo Herrera,46
STU109,Valentina Herrera,68
STU110,Andres Herrera,90
STU111,Camila Herrera,51
STU112,Daniel Herrera,73
STU113,Lucia Herrera,95
STU114,Martin Herrera,56
STU115,Gabriela Herrera,78
STU116,Nicolas Herrera,100
STU117,Paula Herrera,77
STU118,Javier Herrera,99
STU119,Isabella Herrera,60
STU120,Sebastian Herrera,82
